"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 14","1,445.90","1,376.40","1,456.65","1,361.60","-","4.94%"
"Mar 14","1,417.45","1,448.50","1,488.95","1,395.75","-","-1.97%"
"Apr 14","1,426.95","1,417.50","1,471.50","1,388.20","-","0.67%"
"May 14","1,453.55","1,427.15","1,496.95","1,412.30","-","1.86%"
"Jun 14","1,486.90","1,453.95","1,491.55","1,421.70","-","2.29%"
"Jul 14","1,464.90","1,486.95","1,523.65","1,462.65","-","-1.48%"
"Aug 14","1,424.60","1,464.50","1,488.50","1,414.55","-","-2.75%"
"Sep 14","1,293.30","1,424.45","1,430.10","1,289.85","-","-9.22%"
"Oct 14","1,237.05","1,292.90","1,294.80","1,187.05","-","-4.35%"
"Nov 14","1,189.85","1,237.05","1,245.05","1,178.10","-","-3.82%"
"Dec 14","1,209.15","1,188.95","1,256.25","1,176.00","-","1.62%"
"Jan 15","1,240.90","1,209.50","1,290.15","1,187.90","-","2.63%"
"Feb 15","1,188.70","1,240.45","1,258.55","1,155.10","-","-4.21%"
"Mar 15","1,139.55","1,185.55","1,196.80","1,087.10","-","-4.13%"
"Apr 15","1,142.35","1,139.60","1,187.95","1,117.95","-","0.25%"
"May 15","1,111.55","1,142.40","1,179.60","1,108.95","-","-2.70%"
"Jun 15","1,079.35","1,111.45","1,123.95","1,058.80","-","-2.90%"
"Jul 15","984.15","1,076.70","1,090.90","947.35","-","-8.82%"
"Aug 15","1,007.35","983.40","1,038.30","945.45","-","2.36%"
"Sep 15","907.75","1,007.45","1,023.90","899.95","-","-9.89%"
"Oct 15","987.35","907.95","1,026.60","893.45","-","8.77%"
"Nov 15","832.20","985.55","986.50","826.10","-","-15.71%"
"Dec 15","892.50","832.70","895.85","825.50","-","7.25%"
"Jan 16","873.05","890.95","898.90","811.60","-","-2.18%"
"Feb 16","934.05","873.70","970.10","852.05","-","6.99%"
"Mar 16","976.30","934.65","1,010.85","931.65","-","4.52%"
"Apr 16","1,080.00","976.15","1,082.85","938.35","-","10.62%"
"May 16","981.10","1,078.90","1,092.15","967.70","-","-9.16%"
"Jun 16","1,028.85","981.15","1,033.35","956.25","-","4.87%"
"Jul 16","1,152.90","1,028.50","1,163.60","1,026.30","-","12.06%"
"Aug 16","1,055.95","1,152.40","1,199.45","1,051.50","-","-8.41%"
"Sep 16","1,032.80","1,056.00","1,110.30","1,010.60","-","-2.19%"
"Oct 16","981.70","1,032.70","1,036.00","927.30","-","-4.95%"
"Nov 16","910.65","981.75","1,022.95","904.45","-","-7.24%"
"Dec 16","905.65","910.60","952.90","889.55","-","-0.55%"
"Jan 17","999.25","906.55","1,008.75","903.25","-","10.34%"
"Feb 17","1,022.30","999.05","1,047.70","988.15","-","2.31%"
"Mar 17","953.40","1,022.20","1,030.30","932.95","-","-6.74%"
"Apr 17","950.50","951.65","993.00","938.65","-","-0.30%"
"May 17","949.95","950.55","967.75","894.85","-","-0.06%"
"Jun 17","927.70","949.80","969.40","911.75","-","-2.34%"
"Jul 17","941.65","928.70","946.50","891.85","-","1.50%"
"Aug 17","1,001.25","941.50","1,010.40","940.95","-","6.33%"
