Date,Price,Open,High,Low,Vol.,Change %
20-Dec,26.473,22.81,27.595,22.755,40.39K,16.82%
21-Jan,26.953,26.825,28.15,24.095,71.47K,1.81%
21-Feb,26.44,28.41,30.04,25.98,653.35K,-1.90%
21-Mar,24.532,26.7,27.175,23.74,1.47M,-7.22%
21-Apr,25.915,24.46,26.727,24.273,39.25K,5.64%
21-May,28.014,25.99,28.9,25.85,1.41M,8.10%
21-Jun,26.194,28.08,28.735,25.58,446.89K,-6.50%
21-Jul,25.547,26.25,26.91,24.515,1.16M,-2.47%
21-Aug,24.006,25.605,26.13,22.35,426.39K,-6.03%
21-Sep,22.047,23.935,24.945,21.41,1.10M,-8.16%
21-Oct,23.949,22.185,24.92,21.99,1.11M,8.63%
21-Nov,22.765,23.985,25.49,22.705,1.35M,-4.94%
21-Dec,22.848,22.77,23.295,21.5,2.48K,0.36%
22-Jan,22.432,23.395,24.79,21.985,55.16K,-1.82%
22-Feb,24.366,22.515,25.705,22.05,423.75K,8.62%
22-Mar,25.133,24.455,27.495,24.045,1.31M,3.15%
,,,,,,
